objectLayer,farmItems
Items00,"['Tomato00(8,7) Turnip01(13,13) Turnip00(12,13) Strawberry01(8,8) Strawberry00(7,7) Eggplant00(12,14) Tomato01(7,8) Turnip02(13,14)']"
Items01,"['Tomato00(7,8) Turnip01(12,13) Turnip00(8,7) Strawberry01(8,8) Strawberry00(7,7) Eggplant00(12,14) Tomato01(13,13) Turnip02(13,14)']"
Items02,"['Tomato00(8,7) Turnip01(13,13) Turnip00(12,13) Strawberry02(8,8) Strawberry01(9,7) Strawberry00(7,7) Eggplant00(12,14) Tomato01(7,8)']"
Items03,"['Tomato00(8,7) Turnip01(13,13) Turnip00(12,13) Strawberry00(7,7) Eggplant01(12,14) Tomato01(7,8) Turnip02(13,14) Eggplant00(14,13)']"
Items04,"['Tomato04(9,13) Turnip02(14,15) Turnip00(11,7) Strawberry01(13,11) Eggplant03(13,15) Tomato01(6,6) Turnip01(6,10) Eggplant02(14,14) Strawberry00(6,5) Strawberry02(9,14) Tomato00(5,5) Tomato02(14,10) Eggplant00(10,8) Eggplant01(5,10)']"
Items05,"['Tomato02(5,10) Turnip02(14,15) Turnip00(11,7) Strawberry02(14,14) Eggplant03(13,15) Tomato01(10,8) Turnip01(6,10) Eggplant01(13,11) Strawberry00(6,5) Strawberry01(9,14) Tomato00(5,5) Tomato03(14,10) Eggplant00(6,6) Eggplant02(9,13)']"
Items06,"['Tomato00(13,13) Turnip01(8,7) Turnip00(7,7) Strawberry01(13,14) Strawberry00(12,13) Eggplant00(7,8) Tomato01(12,14) Turnip02(8,8)']"
Items07,"['Tomato01(12,14) Turnip00(7,7) Turnip02(13,13) Strawberry01(13,14) Strawberry00(12,13) Eggplant00(7,8) Tomato00(8,7) Turnip01(8,8)']"
Items08,"['Eggplant01(7,8) Eggplant00(8,7) Turnip00(7,7) Turnip02(8,8) Turnip01(9,7) Tomato00(12,14) Strawberry00(12,13) Strawberry01(13,13)']"
Items09,"['Eggplant01(7,8) Eggplant00(8,7) Turnip00(7,7) Tomato01(12,14) Tomato00(14,13) Strawberry00(12,13) Strawberry01(13,13) Strawberry02(13,14)']"
Items10,"['Tomato01(5,10) Tomato00(10,8) Strawberry01(6,10) Strawberry00(11,7) Tomato03(13,15) Tomato02(14,14) Strawberry02(14,15) Turnip01(13,11) Turnip02(9,14) Turnip00(6,5) Eggplant02(14,10) Eggplant03(9,13) Eggplant00(5,5) Eggplant01(6,6)']"
Items11,"['Eggplant00(5,5) Eggplant02(5,10) Eggplant01(10,8) Eggplant03(14,10) Turnip00(6,5) Turnip01(9,14) Turnip02(14,14) Tomato00(6,6) Tomato01(13,11) Tomato03(13,15) Tomato02(9,13) Strawberry01(6,10) Strawberry00(11,7) Strawberry02(14,15)']"
